Bibtex Key,Aesthetic Tag,Approach,Evaluation Criterion,Graph Type,Paper TItle,Participants,Statistical Evaluation,Statistically Significant,Task,Task Group,Task Type,|E|,|G|,|N|
kobourov_are_2014,Edge Crossings,Quantitative,Task Time,Node-Link,Are Crossings Important for Drawing Large Graphs?,19,Yes,Yes,What is the node with the highest degree?,Topology,Adjacency,,2,40-120
kobourov_are_2014,Edge Crossings,Quantitative,Task Accuracy,Node-Link,Are Crossings Important for Drawing Large Graphs?,19,Yes,Yes,What nodes are all adjacent to the given node?,Topology,Adjacency,,2,40-120
kobourov_are_2014,Edge Crossings,Quantitative,Task Time,Node-Link,Are Crossings Important for Drawing Large Graphs?,19,Yes,Yes,What nodes are all adjacent to the given node?,Topology,Adjacency,,2,40-120
kobourov_are_2014,Edge Crossings,Quantitative,Task Accuracy,Node-Link,Are Crossings Important for Drawing Large Graphs?,19,Yes,Yes,Which of the following nodes are adjacent to both given nodes?,Topology,Common Connection,,2,40-120
kobourov_are_2014,Edge Crossings,Quantitative,Task Time,Node-Link,Are Crossings Important for Drawing Large Graphs?,19,Yes,Yes,Which of the following nodes are adjacent to both given nodes?,Topology,Common Connection,,2,40-120
burch_evaluating_2012,"Edge Crossings, Edge Length",Quantitative,Task Time,Node-Link,Evaluating Partially Drawn Links for Directed Graph Edges,42,No,No,Is it possible to go from the node highlighted in green to the node highlighted in red by taking exactly one step?,Topology,Adjacency,,3,20-60
burch_evaluating_2012,"Edge Crossings, Edge Length",Quantitative,Error Rate,Node-Link,Evaluating Partially Drawn Links for Directed Graph Edges,42,No,No,"Is it possible to from the node highlighted in green to the node highlighted in red by taking exactly two steps? ",Topology,Find Shortest Path,,3,20-60
burch_evaluating_2012,"Edge Crossings, Edge Length",Quantitative,Task Time,Node-Link,Evaluating Partially Drawn Links for Directed Graph Edges,42,No,No,"Is it possible to from the node highlighted in green to the node highlighted in red by taking exactly two steps? ",Topology,Find Shortest Path,,3,20-60
burch_evaluating_2012,"Edge Crossings, Edge Length",Quantitative,Error Rate,Node-Link,Evaluating Partially Drawn Links for Directed Graph Edges,42,No,No,"Which node has the highest number of outgoing edges? ",Topology,Adjacency,,3,20-60
burch_evaluating_2012,"Edge Crossings, Edge Length",Quantitative,Task Time,Node-Link,Evaluating Partially Drawn Links for Directed Graph Edges,42,No,No,"Which node has the highest number of outgoing edges? ",Topology,Adjacency,,3,20-60
purchase_how_2007,Layout Stability,Quantitative,Error Rate,Node-Link,How Important Is the “Mental Map”? – An Empirical Investigation of a Dynamic Graph Layout Algorithm,20,Yes,No,How many new links were added to the site over the years?,Topology,Adjacency,15-30,3,14-20
